,"family_name","genus_name","order_name","path","species_name","taxa_to_filter"
"NB501850:488:HLKY5AFX2:1:11101:3478:18513_CONS_SUB_SUB_CMP","Chloropidae","Thaumatomyia","Diptera","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Holometabola@cohort:Diptera@order:Brachycera@suborder:Muscomorpha@infraorder:Eremoneura@no rank:Cyclorrhapha@no rank:Schizophora@no rank:Acalyptratae@no rank:Carnoidea@superfamily:Chloropidae@family:Chloropinae@subfamily:Thaumatomyia@genus:Thaumatomyia notata@species","Thaumatomyia notata","Chloropidae"
"NB501850:488:HLKY5AFX2:1:11105:20104:17541_CONS_SUB_SUB_CMP","NA","NA","Coleoptera","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Holometabola@cohort:Coleoptera@order:Polyphaga@suborder","NA","Viridiplantae"
"NB501850:488:HLKY5AFX2:1:11204:3294:3275_CONS_SUB_SUB_CMP","Cicadellidae","NA","Hemiptera","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Paraneoptera@cohort:Hemiptera@order:Auchenorrhyncha@suborder:Cicadomorpha@infraorder:Membracoidea@superfamily:Cicadellidae@family:Cicadellinae@subfamily:unclassified Cicadellinae@no rank:Cicadellinae sp. EMHAU-2015-Zz060410@species","Cicadellinae sp. EMHAU-2015-Zz060410","Cicadellidae"
"NB501850:488:HLKY5AFX2:1:11207:6214:18886_CONS_SUB_SUB","NA","NA","Orthoptera","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Polyneoptera@cohort:Orthoptera@order:Caelifera@suborder:Acrididea@infraorder:Acridomorpha@no rank:Acridoidea@superfamily","NA","Sciaridae"
"NB501850:488:HLKY5AFX2:1:11208:13953:16975_CONS_SUB_SUB_CMP","NA","NA","NA","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass","NA","NA"
"NB501850:488:HLKY5AFX2:1:11209:20055:15410_CONS_SUB_SUB","NA","NA","Diptera","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Holometabola@cohort:Diptera@order","NA","NA"
"NB501850:488:HLKY5AFX2:1:21103:17217:6088_CONS_SUB_SUB_CMP","Acrididae","Arcyptera","Orthoptera","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Polyneoptera@cohort:Orthoptera@order:Caelifera@suborder:Acrididea@infraorder:Acridomorpha@no rank:Acridoidea@superfamily:Acrididae@family:Gomphocerinae@subfamily:Arcyptera@genus","NA","Acrididae"
"NB501850:488:HLKY5AFX2:1:21210:4052:17893_CONS_SUB_SUB","NA","NA","Orthoptera","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Polyneoptera@cohort:Orthoptera@order:Caelifera@suborder:Acrididea@infraorder:Acridomorpha@no rank","NA","NA"
"NB501850:488:HLKY5AFX2:2:11306:3909:10185_CONS_SUB_SUB_CMP","NA","NA","NA","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Holometabola@cohort","NA","NA"
"NB501850:488:HLKY5AFX2:3:11502:19013:3263_CONS_SUB_SUB_CMP","Acrididae","NA","Orthoptera","root@no rank:Eukaryota@superkingdom:Opisthokonta@no rank:Metazoa@kingdom:Eumetazoa@no rank:Bilateria@no rank:Protostomia@no rank:Ecdysozoa@no rank:Panarthropoda@no rank:Arthropoda@phylum:Mandibulata@no rank:Pancrustacea@no rank:Hexapoda@subphylum:Insecta@class:Dicondylia@no rank:Pterygota@subclass:Neoptera@infraclass:Polyneoptera@cohort:Orthoptera@order:Caelifera@suborder:Acrididea@infraorder:Acridomorpha@no rank:Acridoidea@superfamily:Acrididae@family","NA","Acrididae"
